Title,Subtitle,Content
Not Available,No Subtitle,"1.  discuss the role of, and a framework for, capital market expectations in the portfolio management process 2.  discuss challenges in developing capital market forecasts 3.  explain how exogenous shocks may affect economic growth trends 4.  discuss the application of economic growth trend analysis to the formulation of capital market expectations 5.  compare major approaches to economic forecasting 6.  discuss how business cycles affect short-and long-term expectations 7.  explain the relationship of inflation to the business cycle and the implications of inflation for cash, bonds, equity, and real estate returns 8.  discuss the effects of monetary and fiscal policy on business cycles 9.  interpret the shape of the yield curve as an economic predictor and discuss the relationship between the yield curve and fiscal and monetary policy 10.  identify and interpret macroeconomic, interest rate, and exchange rate linkages between economies"
Not Available,"Capital Market Expectations, Part 2: Forecasting Asset Class Returns",The candidate should be able to: 1.  discuss approaches to setting expectations for fixed-income returns 2.  discuss risks faced by investors in emerging market fixed-income securities and the country risk analysis techniques used to evaluate emerging market economies © CFA Institute. For candidate use only. Not for distribution.
Not Available,No Subtitle,1.  discuss approaches to setting expectations for equity investment market returns 2.  discuss risks faced by investors in emerging market equity securities 3.  explain how economic and competitive factors can affect expectations for real estate investment markets and sector returns 4.  discuss major approaches to forecasting exchange rates 5.  discuss methods of forecasting volatility 6.  recommend and justify changes in the component weights of a global investment portfolio based on trends and expected changes in macroeconomic factors
Not Available,Currency Management: An Introduction,"The candidate should be able to: 1.  analyze the effects of currency movements on portfolio risk and return 2.  discuss strategic choices in currency management 3.  formulate an appropriate currency management program given financial market conditions and portfolio objectives and constraints 4.  compare active currency trading strategies based on economic fundamentals, technical analysis, carry-trade, and volatility trading 5.  describe how changes in factors underlying active trading strategies affect tactical trading decisions 6.  describe how forward contracts and FX (foreign exchange) swaps are used to adjust hedge ratios 7.  describe trading strategies used to reduce hedging costs and modify the riskreturn characteristics of a foreign-currency portfolio 8.  describe the use of cross-hedges, macro-hedges, and minimum-variance-hedge ratios in portfolios exposed to multiple foreign currencies 9.  discuss challenges for managing emerging market currency exposures 10.  describe the three basic forms of performance-based fees 11.  analyze and interpret a sample performance-based fee schedule"
Portfolio Management,Overview of Asset Allocation,"The candidate should be able to: 1.  describe elements of effective investment governance and investment governance considerations in asset allocation 2.  formulate an economic balance sheet for a client and interpret its implications for asset allocation 3.  compare the investment objectives of asset-only, liability-relative, and goals-based asset allocation approaches 4.  contrast concepts of risk relevant to asset-only, liability-relative, and goals-based asset allocation approaches 5.  explain how asset classes are used to represent exposures to systematic risk and discuss criteria for asset class specification 6.  explain the use of risk factors in asset allocation and their relation to traditional asset class-based approaches 7.  recommend and justify an asset allocation based on an investor's objectives and constraints 8.  describe the use of the global market portfolio as a baseline portfolio in asset allocation 9.  discuss strategic implementation choices in asset allocation, including passive/ active choices and vehicles for implementing passive and active mandates 10.  discuss strategic considerations in rebalancing asset allocations"
Portfolio Management,Principles of Asset Allocation,The candidate should be able to: 1.  describe and evaluate the use of mean-variance optimization in asset allocation 2.  recommend and justify an asset allocation using mean-variance optimization 3.  interpret and evaluate an asset allocation in relation to an investor's economic balance sheet 4.  recommend and justify an asset allocation based on the global market portfolio 5.  discuss the use of Monte Carlo simulation and scenario analysis to evaluate the robustness of an asset allocation 6.  discuss asset class liquidity considerations in asset allocation 7.  explain absolute and relative risk budgets and their use in determining and implementing an asset allocation 8.  describe how client needs and preferences regarding investment risks can be incorporated into asset allocation 9.  describe the use of investment factors in constructing and analyzing an asset allocation 10.  describe and evaluate characteristics of liabilities that are relevant to asset allocation 11.  discuss approaches to liability-relative asset allocation 12.  recommend and justify a liability-relative asset allocation 13.  recommend and justify an asset allocation using a goals-based approach 14.  describe and evaluate heuristic and other approaches to asset allocation 15.  discuss factors affecting rebalancing policy
Portfolio Management,Asset Allocation with Real-World Constraints,"The candidate should be able to: 1.  discuss asset size, liquidity needs, time horizon, and regulatory or other considerations as constraints on asset allocation 2.  discuss tax considerations in asset allocation and rebalancing 3.  recommend and justify revisions to an asset allocation given change(s) in investment objectives and/or constraints 4.  discuss the use of short-term shifts in asset allocation 5.  identify behavioral biases that arise in asset allocation and recommend methods to overcome them"
Portfolio Management,Overview of Private Wealth Management,The candidate should be able to: 
Portfolio Management,Topics in Private Wealth Management,"The candidate should be able to: 1.  compare taxation of income, wealth, and wealth transfers 2.  describe global considerations of jurisdiction that are relevant to taxation 3.  discuss and analyze the tax efficiency of investments 4.  analyze the impact of taxes on capital accumulation and decumulation in taxable, tax-exempt, and tax-deferred accounts 5.  explain portfolio tax management strategies and their application 6.  discuss risk and tax objectives in managing concentrated single-asset positions 7.  describe strategies for managing concentrated positions in public equities 8.  describe strategies for managing concentrated positions in privately owned businesses and real estate 9.  discuss objectives-tax and non-tax-in planning the transfer of wealth 10.  discuss strategies for achieving estate, bequest, and lifetime gift objectives in common law and civil law regimes 11.  describe considerations related to managing wealth across multiple generations"
Portfolio Management,Risk Management for Individuals,"The candidate should be able to: 1.  compare the characteristics of human capital and financial capital as components of an individual's total wealth 2.  discuss the relationships among human capital, financial capital, and economic net worth 3.  describe an economic (holistic) balance sheet 4.  discuss risks (earnings, premature death, longevity, property, liability, and health risks) in relation to human and financial capital 5.  describe types of insurance relevant to personal financial planning 6.  describe the basic elements of a life insurance policy and how insurers price a life insurance policy 7.  discuss the use of annuities in personal financial planning 8.  discuss the relative advantages and disadvantages of fixed and variable annuities 9.  discuss how asset allocation policy may be influenced by the risk characteristics of human capital 10.  recommend and justify appropriate strategies for asset allocation and risk reduction when given an investor profile of key inputs"
